date,region,rainfall,temperature,humidity,soil_moisture,river_discharge,rainfall_lag1,rainfall_lag7,rainfall_roll_mean3,rainfall_roll_mean7,rainfall_roll_std7,rainfall_rate1,temperature_lag1,temperature_lag7,temperature_roll_mean3,temperature_roll_mean7,temperature_roll_std7,temperature_rate1,humidity_lag1,humidity_lag7,humidity_roll_mean3,humidity_roll_mean7,humidity_roll_std7,humidity_rate1,soil_moisture_lag1,soil_moisture_lag7,soil_moisture_roll_mean3,soil_moisture_roll_mean7,soil_moisture_roll_std7,soil_moisture_rate1,river_discharge_lag1,river_discharge_lag7,river_discharge_roll_mean3,river_discharge_roll_mean7,river_discharge_roll_std7,river_discharge_rate1,season_sin,season_cos
2015-01-08,kisumu,0.3,24.3,57,0.246,0.09,0.0,0.2,0.09999999999999999,0.04285714285714286,0.11338934190276817,0.3,24.2,24.5,24.333333333333332,24.47142857142857,0.3199702367110908,0.10000000000000142,55.0,58.0,53.333333333333336,51.0,4.509249752822894,2.0,0.249,0.3,0.24966666666666668,0.26285714285714284,0.015192416654684125,-0.0030000000000000027,0.09,0.11,0.09,0.09,0.0,0.0,0.13718540405660057,0.9905453876091833
2015-01-09,kisumu,2.3,23.9,60,0.246,0.09,0.3,0.0,0.8666666666666666,0.3714285714285714,0.8577378887016043,1.9999999999999998,24.3,24.9,24.133333333333336,24.328571428571426,0.31997023671108954,-0.40000000000000213,57.0,45.0,57.333333333333336,53.142857142857146,4.740906081772816,3.0,0.246,0.288,0.247,0.25685714285714284,0.011437199124327758,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.1542040475626894,0.988039023376751
2015-01-10,kisumu,6.2,23.0,65,0.253,0.08,2.3,0.0,2.9333333333333336,1.2571428571428573,2.336562391532443,3.9000000000000004,23.9,24.7,23.73333333333333,24.085714285714285,0.5520524474738799,-0.8999999999999986,60.0,47.0,60.666666666666664,55.714285714285715,5.64843003893665,5.0,0.246,0.276,0.24833333333333332,0.25357142857142856,0.00772133716522256,0.007000000000000006,0.09,0.09,0.08666666666666667,0.08857142857142855,0.0037796447300922696,-0.009999999999999995,0.17117705961019986,0.985240282501282
2015-01-11,kisumu,0.0,23.1,58,0.259,0.08,6.2,0.0,2.8333333333333335,1.2571428571428573,2.336562391532443,-6.2,23.0,24.7,23.333333333333332,23.857142857142858,0.5855400437691141,0.10000000000000142,65.0,54.0,61.0,56.285714285714285,5.64843003893665,-7.0,0.253,0.267,0.25266666666666665,0.2524285714285714,0.005740416444159814,0.006000000000000005,0.08,0.09,0.08333333333333333,0.08714285714285715,0.00487950036474266,0.0,0.18809941761179758,0.9821499931752291
2015-01-12,kisumu,0.0,23.9,52,0.254,0.08,0.0,0.0,2.066666666666667,1.2571428571428573,2.336562391532443,0.0,23.1,24.0,23.333333333333332,23.842857142857138,0.5826867164470136,0.7999999999999972,58.0,51.0,58.333333333333336,56.42857142857143,5.503245795502347,-6.0,0.259,0.26,0.25533333333333336,0.2515714285714286,0.004790864322059259,-0.0050000000000000044,0.08,0.09,0.08,0.08571428571428572,0.005345224838248479,0.0,0.20496611396949532,0.9787690698649216
2015-01-13,kisumu,0.0,24.1,54,0.249,0.08,0.0,0.0,0.0,1.2571428571428573,2.336562391532443,0.0,23.9,24.5,23.7,23.785714285714285,0.5241773600241589,0.20000000000000284,52.0,48.0,54.666666666666664,57.285714285714285,4.309458036856673,2.0,0.254,0.254,0.254,0.25085714285714283,0.004740906081772746,-0.0050000000000000044,0.08,0.09,0.08,0.0842857142857143,0.0053452248382484776,0.0,0.22177215755648186,0.975098513039961
2015-01-14,kisumu,0.0,24.8,52,0.244,0.08,0.0,0.0,0.0,1.2571428571428573,2.336562391532443,0.0,24.1,24.2,24.266666666666666,23.87142857142857,0.639568306787956,0.6999999999999993,54.0,55.0,52.666666666666664,56.857142857142854,4.7056197405716,-2.0,0.249,0.249,0.249,0.25014285714285717,0.00539841246505456,-0.0050000000000000044,0.08,0.09,0.08,0.08285714285714285,0.004879500364742653,0.0,0.23851257519407648,0.9711394088771653
2015-01-15,kisumu,0.0,25.0,45,0.24,0.08,0.0,0.3,0.0,1.2142857142857142,2.359681172975544,0.0,24.8,24.3,24.633333333333336,23.97142857142857,0.7609517849690706,0.1999999999999993,52.0,57.0,50.333333333333336,55.142857142857146,6.4917530100010055,-7.0,0.244,0.246,0.24433333333333332,0.24928571428571428,0.006524678426668078,-0.0040000000000000036,0.08,0.09,0.08,0.08142857142857142,0.0037796447300922557,0.0,0.2551824131233728,0.9668929289391521
2015-01-16,kisumu,0.0,25.0,47,0.237,0.08,0.0,2.3,0.0,0.8857142857142858,2.343379732657209,0.0,25.0,23.9,24.933333333333334,24.12857142857143,0.8518886580500314,0.0,45.0,60.0,48.0,53.285714285714285,6.72592709134549,2.0,0.24,0.246,0.24033333333333332,0.24800000000000003,0.00799999999999995,-0.0030000000000000027,0.08,0.09,0.08,0.08,0.0,0.0,0.2717767384711357,0.9623603298276545
2015-01-17,kisumu,0.0,25.2,45,0.235,0.08,0.0,6.2,0.0,0.0,0.0,0.0,25.0,23.0,25.066666666666666,24.442857142857147,0.7678045386189193,0.1999999999999993,47.0,65.0,45.666666666666664,50.42857142857143,4.928053803045806,-2.0,0.237,0.253,0.2373333333333333,0.2454285714285714,0.008960229588895221,-0.0020000000000000018,0.08,0.08,0.08,0.08,0.0,0.0,0.2882906407095177,0.9575429528116719
