date,region,rainfall,temperature,humidity,soil_moisture,river_discharge
2015-01-01,kisumu,0.2,24.5,58,,0.11
2015-01-02,kisumu,0.0,24.9,45,,0.09
2015-01-03,kisumu,0.0,24.7,47,,0.09
2015-01-04,kisumu,0.0,24.7,54,,0.09
2015-01-05,kisumu,0.0,24.0,51,,0.09
2015-01-06,kisumu,0.0,24.5,48,,0.09
2015-01-07,kisumu,0.0,24.2,55,,0.09
2015-01-08,kisumu,0.3,24.3,57,,0.09
2015-01-09,kisumu,2.3,23.9,60,,0.09
2015-01-10,kisumu,6.2,23.0,65,,0.08
2015-01-11,kisumu,0.0,23.1,58,,0.08
2015-01-12,kisumu,0.0,23.9,52,,0.08
2015-01-13,kisumu,0.0,24.1,54,,0.08
2015-01-14,kisumu,0.0,24.8,52,,0.08
2015-01-15,kisumu,0.0,25.0,45,,0.08
2015-01-16,kisumu,0.0,25.0,47,,0.08
2015-01-17,kisumu,0.0,25.2,45,,0.08
2015-01-18,kisumu,0.0,25.4,45,,0.08
2015-01-19,kisumu,0.0,25.2,43,,0.08
2015-01-20,kisumu,0.0,25.4,44,,0.08
2015-01-21,kisumu,0.2,25.7,47,,0.08
2015-01-22,kisumu,2.1,24.9,60,,0.08
2015-01-23,kisumu,0.1,24.7,61,,0.06
2015-01-24,kisumu,0.3,25.0,58,,0.05
2015-01-25,kisumu,2.8,24.1,63,,0.03
2015-01-26,kisumu,1.3,24.6,54,,0.03
2015-01-27,kisumu,0.0,24.9,48,,0.03
2015-01-28,kisumu,0.0,25.4,47,,0.03
2015-01-29,kisumu,0.0,25.4,50,,0.03
2015-01-30,kisumu,0.0,24.9,52,,0.03
2015-01-31,kisumu,0.0,25.6,48,,0.03
2015-02-01,kisumu,0.0,25.8,47,,0.03
2015-02-02,kisumu,0.0,26.7,43,,0.03
2015-02-03,kisumu,0.0,25.9,49,,0.03
2015-02-04,kisumu,0.0,26.8,48,,0.03
2015-02-05,kisumu,3.0,25.9,51,,0.03
2015-02-06,kisumu,0.0,26.9,48,,0.03
2015-02-07,kisumu,0.0,27.3,42,,0.03
2015-02-08,kisumu,0.8,26.4,52,,0.03
2015-02-09,kisumu,0.0,25.9,56,,0.03
2015-02-10,kisumu,0.0,26.6,49,,0.03
2015-02-11,kisumu,0.0,26.0,50,,0.03
2015-02-12,kisumu,0.0,26.2,53,,0.03
2015-02-13,kisumu,0.0,26.6,49,,0.03
2015-02-14,kisumu,0.3,25.7,53,,0.03
2015-02-15,kisumu,12.6,23.1,68,,0.03
2015-02-16,kisumu,0.2,24.9,57,,0.03
2015-02-17,kisumu,9.1,24.4,60,,0.03
2015-02-18,kisumu,7.6,24.4,64,,0.03
2015-02-19,kisumu,1.2,24.9,64,,0.03
2015-02-20,kisumu,1.0,24.9,64,,0.03
2015-02-21,kisumu,1.4,25.2,62,,0.03
2015-02-22,kisumu,0.0,25.5,59,,0.03
2015-02-23,kisumu,0.0,25.2,60,,0.03
2015-02-24,kisumu,2.4,24.4,66,,0.03
2015-02-25,kisumu,0.2,24.5,59,,0.03
2015-02-26,kisumu,0.0,25.1,56,,0.03
2015-02-27,kisumu,0.0,25.6,57,,0.03
2015-02-28,kisumu,0.0,25.6,54,,0.03
2015-03-01,kisumu,1.4,23.8,69,,0.03
2015-03-02,kisumu,0.0,26.2,53,,0.03
2015-03-03,kisumu,0.0,26.4,49,,0.03
2015-03-04,kisumu,0.4,25.5,54,,0.03
2015-03-05,kisumu,0.0,25.1,52,,0.03
2015-03-06,kisumu,0.0,25.9,54,,0.03
2015-03-07,kisumu,0.1,26.8,46,,0.03
2015-03-08,kisumu,0.0,27.1,38,,0.03
2015-03-09,kisumu,0.0,27.8,35,,0.03
2015-03-10,kisumu,0.0,27.8,31,,0.03
2015-03-11,kisumu,0.0,27.8,30,,0.03
2015-03-12,kisumu,0.0,26.6,44,,0.03
2015-03-13,kisumu,0.0,27.9,42,,0.03
2015-03-14,kisumu,0.0,28.3,36,,0.03
2015-03-15,kisumu,0.1,28.1,31,,0.03
2015-03-16,kisumu,0.0,28.3,34,,0.03
2015-03-17,kisumu,0.0,28.5,43,,0.03
2015-03-18,kisumu,0.0,28.7,42,,0.03
2015-03-19,kisumu,0.7,27.5,52,,0.03
2015-03-20,kisumu,2.5,27.3,55,,0.03
2015-03-21,kisumu,0.2,27.4,53,,0.03
2015-03-22,kisumu,4.7,25.3,65,,0.03
2015-03-23,kisumu,17.8,24.5,67,,0.03
2015-03-24,kisumu,17.8,23.2,77,,0.03
2015-03-25,kisumu,13.3,23.1,77,,0.03
2015-03-26,kisumu,16.6,23.5,73,,0.06
